"cluster_condition"," ","GO cluster","IC","GO ID","term","definition","name pvalue","name -log10_pvalue","ID","temperature","ontology","gene_count","cluster","direction"
"cluster5_control","1","1",6.11,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0006325"">GO:0006325</a>","chromatin organization","The assembly or remodeling of chromatin composed of DNA complexed with histones, other associated proteins, and sometimes RNA.",0.00613614,2.21,"GO:0006325","control","BP",42,"cluster5","down"
"cluster5_control","2","1",8.47,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0070828"">GO:0070828</a>","heterochromatin organization","Any process that results in the specification, formation or maintenance of the physical structure of eukaryotic heterochromatin, a compact and highly condensed form of chromatin.",0.005579128,2.25,"GO:0070828","control","BP",6,"cluster5","down"
"cluster5_control","3","2",8.58,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0032392"">GO:0032392</a>","DNA geometric change","The process in which a transformation is induced in the geometry of a DNA double helix, resulting in a change in twist, writhe, or both, but with no change in linking number. Includes the unwinding of double-stranded DNA by helicases.",0.008801614,2.06,"GO:0032392","control","BP",7,"cluster5","down"
"cluster5_control","4","2",9.19,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0032508"">GO:0032508</a>","DNA duplex unwinding","The process in which interchain hydrogen bonds between two strands of DNA are broken or 'melted', generating a region of unpaired single strands.",0.008801614,2.06,"GO:0032508","control","BP",8,"cluster5","down"
"cluster5_control","5","2",5.22,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0051276"">GO:0051276</a>","chromosome organization","A process that is carried out at the cellular level that results in the assembly, arrangement of constituent parts, or disassembly of chromosomes, structures composed of a very long molecule of DNA and associated proteins that carries hereditary information. This term covers covalent modifications at the molecular level as well as spatial relationships among the major components of a chromosome.",0.0006523818,3.19,"GO:0051276","control","BP",68,"cluster5","down"
"cluster5_control","6","2",7.71,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0071103"">GO:0071103</a>","DNA conformation change","A cellular process that results in a change in the spatial configuration of a DNA molecule. A conformation change can bend DNA, or alter the, twist, writhe, or linking number of a DNA molecule.",0.002792318,2.55,"GO:0071103","control","BP",21,"cluster5","down"
"cluster5_control","7","1",9.68,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0051205"">GO:0051205</a>","protein insertion into membrane","The process that results in the incorporation of a protein into a biological membrane. Incorporation in this context means having some part or covalently attached group that is inserted into the the hydrophobic region of one or both bilayers.",0.002657207,2.58,"GO:0051205","control","BP",5,"cluster5","down"
"cluster5_control","8","1",5.9,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0071824"">GO:0071824</a>","protein-DNA complex organization","Any process in which macromolecules aggregate, disaggregate, or are modified, resulting in the formation, disassembly, or alteration of a protein-DNA complex.",0.007195221,2.14,"GO:0071824","control","BP",14,"cluster5","down"
"cluster5_control","9","3",9.61,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0070125"">GO:0070125</a>","mitochondrial translational elongation","The successive addition of amino acid residues to a nascent polypeptide chain during protein biosynthesis in a mitochondrion.",0.008323681,2.08,"GO:0070125","control","BP",8,"cluster5","down"
"cluster5_control","10","3",2.68,"<a href=""http://amigo.geneontology.org/amigo/term/GO:1901576"">GO:1901576</a>","organic substance biosynthetic process","NA",0.009404929,2.03,"GO:1901576","control","BP",156,"cluster5","down"
"cluster5_control","11","3",6.55,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0006260"">GO:0006260</a>","DNA replication","The cellular metabolic process in which a cell duplicates one or more molecules of DNA. DNA replication begins when specific sequences, known as origins of replication, are recognized and bound by the origin recognition complex, and ends when the original DNA molecule has been completely duplicated and the copies topologically separated. The unit of replication usually corresponds to the genome of the cell, an organelle, or a virus. The template for replication can either be an existing DNA molecule or RNA.",0.0006515329,3.19,"GO:0006260","control","BP",20,"cluster5","down"
"cluster5_control","12","3",7.62,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0006275"">GO:0006275</a>","regulation of DNA replication","Any process that modulates the frequency, rate or extent of DNA replication.",0.002561333,2.59,"GO:0006275","control","BP",14,"cluster5","down"
"cluster5_control","13","4",0.66,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0009987"">GO:0009987</a>","cellular process","Any process that is carried out at the cellular level, but not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level.",0.002400961,2.62,"GO:0009987","control","BP",442,"cluster5","down"
"cluster5_control","14","4",2.62,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0044249"">GO:0044249</a>","cellular biosynthetic process","The chemical reactions and pathways resulting in the formation of substances, carried out by individual cells.",0.007419698,2.13,"GO:0044249","control","BP",156,"cluster5","down"
"cluster5_control","15","4",1.74,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0044237"">GO:0044237</a>","cellular metabolic process","The chemical reactions and pathways by which individual cells transform chemical substances.",0.004303602,2.37,"GO:0044237","control","BP",336,"cluster5","down"
"cluster5_control","16","4",2.66,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0046483"">GO:0046483</a>","heterocycle metabolic process","The chemical reactions and pathways involving heterocyclic compounds, those with a cyclic molecular structure and at least two different atoms in the ring (or rings).",0.004894749,2.31,"GO:0046483","control","BP",177,"cluster5","down"
"cluster5_control","17","5",9.14,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0007549"">GO:0007549</a>","sex-chromosome dosage compensation","Compensating for the variation in the unpaired sex chromosome:autosome chromosome ratios between sexes by activation or inactivation of genes on one or both of the sex chromosomes.",0.003735241,2.43,"GO:0007549","control","BP",7,"cluster5","down"
"cluster5_control","18","5",1.95,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0006807"">GO:0006807</a>","nitrogen compound metabolic process","The chemical reactions and pathways involving organic or inorganic compounds that contain nitrogen.",0.006551417,2.18,"GO:0006807","control","BP",314,"cluster5","down"
"cluster5_control","19","5",2,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0044238"">GO:0044238</a>","primary metabolic process","The chemical reactions and pathways involving those compounds which are formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism.",0.009220299,2.04,"GO:0044238","control","BP",325,"cluster5","down"
"cluster5_control","20","5",7.27,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0009451"">GO:0009451</a>","RNA modification","The covalent alteration of one or more nucleotides within an RNA molecule to produce an RNA molecule with a sequence that differs from that coded genetically.",0.001089853,2.96,"GO:0009451","control","BP",16,"cluster5","down"
"cluster5_control","21","5",9.92,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0071108"">GO:0071108</a>","protein K48-linked deubiquitination","A protein deubiquitination process in which a K48-linked ubiquitin chain, i.e. a polymer of ubiquitin formed by linkages between lysine residues at position 48 of the ubiquitin monomers, is removed from a protein.",0.003735241,2.43,"GO:0071108","control","BP",7,"cluster5","down"
"cluster5_control","22","6",8.49,"<a href=""http://amigo.geneontology.org/amigo/term/GO:1904888"">GO:1904888</a>","cranial skeletal system development","NA",6.590679e-05,4.18,"GO:1904888","control","BP",12,"cluster5","down"
"cluster5_control","23","6",8.56,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048704"">GO:0048704</a>","embryonic skeletal system morphogenesis","The process in which the anatomical structures of the skeleton are generated and organized during the embryonic phase.",0.008801614,2.06,"GO:0048704","control","BP",9,"cluster5","down"
"cluster5_control","24","6",9.23,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048701"">GO:0048701</a>","embryonic cranial skeleton morphogenesis","The process in which the anatomical structures of the cranial skeleton are generated and organized during the embryonic phase.",0.004809594,2.32,"GO:0048701","control","BP",8,"cluster5","down"
"cluster5_control","25","6",10.38,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0048703"">GO:0048703</a>","embryonic viscerocranium morphogenesis","The process in which the anatomical structures of the viscerocranium are generated and organized during the embryonic phase. The viscerocranium is the part of the skull comprising the facial bones.",0.0006819958,3.17,"GO:0048703","control","BP",6,"cluster5","down"
"cluster5_control","26","7",9.28,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0009651"">GO:0009651</a>","response to salt stress","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment.",0.0022135,2.65,"GO:0009651","control","BP",6,"cluster5","down"
"cluster5_control","27","7",9.19,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0006972"">GO:0006972</a>","hyperosmotic response","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of detection of, or exposure to, a hyperosmotic environment, i.e. an environment with a higher concentration of solutes than the organism or cell.",0.0006232057,3.21,"GO:0006972","control","BP",7,"cluster5","down"
"cluster5_control","28","7",10.12,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0042538"">GO:0042538</a>","hyperosmotic salinity response","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of detection of, or exposure to, an increase in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment.",0.0005430345,3.27,"GO:0042538","control","BP",5,"cluster5","down"
"cluster5_control","29","8",9.92,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0003096"">GO:0003096</a>","renal sodium ion transport","The directed movement of sodium ions (Na+) by the renal system.",0.002657207,2.58,"GO:0003096","control","BP",5,"cluster5","down"
