"cluster_condition"," ","GO cluster","IC","GO ID","term","definition","name pvalue","name -log10_pvalue","ID","cluster","direction","temperature","ontology"
"blue_control","1","1",3.35,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0031326"">GO:0031326</a>","regulation of cellular biosynthetic process","Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances, carried out by individual cells.",0.001757409,2.76,"GO:0031326","blue","up","control","BP"
"blue_control","2","1",4.7,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0031327"">GO:0031327</a>","negative regulation of cellular biosynthetic process","Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances, carried out by individual cells.",0.007829417,2.11,"GO:0031327","blue","up","control","BP"
"blue_control","3","1",9.45,"<a href=""http://amigo.geneontology.org/amigo/term/GO:1903715"">GO:1903715</a>","regulation of aerobic respiration","NA",0.005380387,2.27,"GO:1903715","blue","up","control","BP"
"blue_control","4","1",2.61,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0031323"">GO:0031323</a>","regulation of cellular metabolic process","Any process that modulates the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances.",0.001679752,2.77,"GO:0031323","blue","up","control","BP"
"blue_control","5","1",3.97,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0031325"">GO:0031325</a>","positive regulation of cellular metabolic process","Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances.",0.008396655,2.08,"GO:0031325","blue","up","control","BP"
"blue_control","6","2",3.54,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0010556"">GO:0010556</a>","regulation of macromolecule biosynthetic process","Any process that modulates the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass.",0.003532792,2.45,"GO:0010556","blue","up","control","BP"
"blue_control","7","2",4.86,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0010558"">GO:0010558</a>","negative regulation of macromolecule biosynthetic process","Any process that decreases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass.",0.008161311,2.09,"GO:0010558","blue","up","control","BP"
"blue_control","8","2",3.19,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0009889"">GO:0009889</a>","regulation of biosynthetic process","Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances.",0.002250978,2.65,"GO:0009889","blue","up","control","BP"
"blue_control","9","2",4.55,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0009890"">GO:0009890</a>","negative regulation of biosynthetic process","Any process that stops, prevents, or reduces the rate of the chemical reactions and pathways resulting in the formation of substances.",0.003793733,2.42,"GO:0009890","blue","up","control","BP"
"blue_control","10","3",3.9,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0010468"">GO:0010468</a>","regulation of gene expression","Any process that modulates the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA).",0.003618627,2.44,"GO:0010468","blue","up","control","BP"
"blue_control","11","3",2.76,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0060255"">GO:0060255</a>","regulation of macromolecule metabolic process","Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass.",0.009247113,2.03,"GO:0060255","blue","up","control","BP"
"blue_control","12","3",8.96,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0050994"">GO:0050994</a>","regulation of lipid catabolic process","Any process that modulates the frequency, rate, or extent of the chemical reactions and pathways resulting in the breakdown of lipids.",0.008742772,2.06,"GO:0050994","blue","up","control","BP"
"blue_control","13","3",4.97,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0009894"">GO:0009894</a>","regulation of catabolic process","Any process that modulates the frequency, rate, or extent of the chemical reactions and pathways resulting in the breakdown of substances.",0.00603267,2.22,"GO:0009894","blue","up","control","BP"
"blue_control","14","3",3.45,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0009893"">GO:0009893</a>","positive regulation of metabolic process","Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism.",0.008157676,2.09,"GO:0009893","blue","up","control","BP"
"blue_control","15","3",2.08,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0019222"">GO:0019222</a>","regulation of metabolic process","Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism.",0.001237722,2.91,"GO:0019222","blue","up","control","BP"
"blue_control","16","4",8.15,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0002181"">GO:0002181</a>","cytoplasmic translation","The chemical reactions and pathways resulting in the formation of a protein in the cytoplasm. This is a ribosome-mediated process in which the information in messenger RNA (mRNA) is used to specify the sequence of amino acids in the protein.",2.768969e-08,7.56,"GO:0002181","blue","up","control","BP"
"blue_control","17","4",6.01,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0006412"">GO:0006412</a>","translation","The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome.",5.775016e-05,4.24,"GO:0006412","blue","up","control","BP"
"blue_control","18","4",7.6,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0006413"">GO:0006413</a>","translational initiation","The process preceding formation of the peptide bond between the first two amino acids of a protein. This includes the formation of a complex of the ribosome, mRNA or circRNA, and an initiation complex that contains the first aminoacyl-tRNA.",1.615246e-06,5.79,"GO:0006413","blue","up","control","BP"
"blue_control","19","5",5.55,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0006518"">GO:0006518</a>","peptide metabolic process","The chemical reactions and pathways involving peptides, compounds of two or more amino acids where the alpha carboxyl group of one is bound to the alpha amino group of another.",9.226732e-05,4.03,"GO:0006518","blue","up","control","BP"
"blue_control","20","5",5.05,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0043603"">GO:0043603</a>","amide metabolic process","The chemical reactions and pathways involving an amide, any derivative of an oxoacid in which an acidic hydroxy group has been replaced by an amino or substituted amino group, as carried out by individual cells.",0.0005257575,3.28,"GO:0043603","blue","up","control","BP"
"blue_control","21","5",5.8,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0043043"">GO:0043043</a>","peptide biosynthetic process","The chemical reactions and pathways resulting in the formation of peptides, compounds of 2 or more (but usually less than 100) amino acids where the alpha carboxyl group of one is bound to the alpha amino group of another. This may include the translation of a precursor protein and its subsequent processing into a functional peptide.",3.028068e-05,4.52,"GO:0043043","blue","up","control","BP"
"blue_control","22","5",5.58,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0043604"">GO:0043604</a>","amide biosynthetic process","The chemical reactions and pathways resulting in the formation of an amide, any derivative of an oxoacid in which an acidic hydroxy group has been replaced by an amino or substituted amino group.",5.090227e-05,4.29,"GO:0043604","blue","up","control","BP"
"blue_control","23","6",3.63,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0009056"">GO:0009056</a>","catabolic process","The chemical reactions and pathways resulting in the breakdown of substances, including the breakdown of carbon compounds with the liberation of energy for use by the cell or organism.",0.004395713,2.36,"GO:0009056","blue","up","control","BP"
"blue_control","24","6",4.72,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0009057"">GO:0009057</a>","macromolecule catabolic process","The chemical reactions and pathways resulting in the breakdown of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass.",0.0004016505,3.4,"GO:0009057","blue","up","control","BP"
"blue_control","25","6",4.09,"<a href=""http://amigo.geneontology.org/amigo/term/GO:1901575"">GO:1901575</a>","organic substance catabolic process","NA",0.008734425,2.06,"GO:1901575","blue","up","control","BP"
"blue_control","26","7",5.59,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0046700"">GO:0046700</a>","heterocycle catabolic process","The chemical reactions and pathways resulting in the breakdown of heterocyclic compounds, those with a cyclic molecular structure and at least two different atoms in the ring (or rings).",0.007389931,2.13,"GO:0046700","blue","up","control","BP"
"blue_control","27","7",5.39,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0016071"">GO:0016071</a>","mRNA metabolic process","The chemical reactions and pathways involving mRNA, messenger RNA, which is responsible for carrying the coded genetic 'message', transcribed from DNA, to sites of protein assembly at the ribosomes.",0.001489794,2.83,"GO:0016071","blue","up","control","BP"
"blue_control","28","7",8.59,"<a href=""http://amigo.geneontology.org/amigo/term/GO:0000184"">GO:0000184</a>","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","The nonsense-mediated decay pathway for nuclear-transcribed mRNAs degrades mRNAs in which an amino-acid codon has changed to a nonsense codon; this prevents the translation of such mRNAs into truncated, and potentially harmful, proteins.",2.83188e-05,4.55,"GO:0000184","blue","up","control","BP"
